602,17A PONIENTE
604,17-A.
605,17B
606,17-B
607,17B PONIENTE
608,17-C
609,17-D
610,17-E
611,17O. ANDADOR DE RIO
612,18 (JOAQUIN RIVERO)
613,18 1/2 ORIENTE
614,18 1/2 SUR
615,18 A
616,18 AMILPA
617,18 DE ABRIL
618,18 DE AGOSTO
619,18 DE DICIEMBRE
620,18 DE ENERO
621,18 DE FEBRERO
622,18 DE JULIO
623,18 DE JULIO DE 1872
624,18 DE JUNIO
625,18 DE MAR
626,18 DE MARZO
627,18 DE MARZO (BUCARELI)
628,18 DE MARZO DE 1911
629,18 DE MAYO
630,18 DE NOVIEMBRE
631,18 DE OCTUBRE
632,18 DE SEPTIEMBRE
633,18 DE SEPTIEMBRE GUIRNALDAS
634,18 DEL TEMOLUCO
635,18 DOLORES GUERRERO
636,18 LUIS YUREN
637,18 MANUEL AVILA CAMACHO
638,18 NORTE
639,18 ORIENTE
640,18 PONIENTE
641,18 PUEBLA
642,18 SANTA MATILDE
643,18 SIMON BOLIVAR
644,18 SUR
645,18 SUR A
646,18 SUR B
647,18.5 NORTE
648,18A
649,18-A
650,18A.
651,18-B
652,18-C
653,19 1.5
654,19 1/2 SUR
655,19 A
656,19 B
657,19 BATALLON DE INFANTERIA
658,19 C
659,19 CAFETALES
660,19 CORREGIDORA
661,19 DE ABRIL
662,19 DE AGOSTO
663,19 DE DICIEMBRE
664,19 DE FEBRERO
665,19 DE JULIO
666,19 DE JUNIO
667,19 DE MARZO
668,19 DE MAYO
669,19 DE OCTUBRE
670,19 DE SEPTIEMBRE
671,19 DE SEPTIEMBRE (TINACOS)
672,19 DE SEPTIEMBRE NORTE
673,19 DE SEPTIEMBRE SUR
674,19 DEL TEMOLUCO
675,19 FRANCISCO J. MACIN
676,19 LAZARO CARDENAS
677,19 NORTE
678,19 ORIENTE
679,19 PONIENTE
680,19 SUR
681,19. SIMON BOLIVAR
682,19A
683,19-A
684,19A.
685,19-B
686,19-B.
687,19-BIS
688,19-C
689,19-D
690,1A
691,1-A
692,1A AMPLIACION
693,1A APRIV. FRANCISCO VILLA
694,1A AVENIDA CENTRAL
695,1A BENITO JUAREZ
696,1A CAMINO REAL
697,1A CEDROS
698,1A CENTENARIO
699,1A CERRADA
700,1A CERRADA BENITO PABLO JUAREZ GARCIA
701,1A CERRADA DE CHIMALHUACAN
702,1A CERRADA DE FAISAN
703,1A CERRADA DE ITURBIDE
704,1A CERRADA DE JUAREZ
705,1A CERRADA DEL TORREON
706,1A CERRADA DORIA
707,1A CERRADA FRANCISCO GONZALEZ BOCANEGRA
708,1A CERRADA LA ESTACION
709,1A CERRADA LA NEGRA
710,1A CERRADA LA VENTA
711,1A CERRADA MIGUEL HIDALGO
712,1A CERRADA MIRASOL
713,1A CERRADA MONTE ALBAN
714,1A CERRADA NARANJOS
715,1A CERRADA NECAXA
716,1A CERRADA QUEMADA
717,1A CERRADA RIO AZUL
718,1A CERRADA RIO SALADO
719,1A CERRADA SAN ISIDRO
720,1A CERRADA TAJIN
721,1A CERRADA TENAYUCA
722,1A CONGRESO DE LA UNION
723,1A DE BENITO JUAREZ
724,1A DE CHAPA DE MOTA
725,1A DE CONSTITUYENTES
726,1A DE FERROCARRIL
727,1A DE FRANCISCO VILLA
728,1A DE GUERRERO
729,1A DE INDEPENDENCIA
730,1A DE MAYO
731,1A DE VERACRUZ
732,1A DEL ROSAL
733,1A DEL TREN
734,1A EMMA GODOY
735,1A FELIPE ANGELES
736,1A FELIPE CARRILLO PUERTO
737,1A FRAYBARTOLOME DE LAS CASAS
738,1A GARDENIAS
739,1A ISIDRO FABELA
740,1A IXMIQUILPAN
741,1A JOSEFA ORTIZ DE DOMINGUEZ
742,1A JUAREZ SUR
743,1A LA PAZ
744,1A LEONA VICARIO
745,1A LIBERTAD
746,1A LOMA ALTA
747,1A LOPEZ MATEOS
748,1A MORELOS
749,1A NIÑOS HEROES
750,1A ORIENTE
751,1A PINO SUAREZ
752,1A PRIVADA BELFAST
753,1A PRIVADA BENITO JUAREZ
754,1A PRIVADA CONSTITUCION
755,1A PRIVADA DE HIDALGO
756,1A PRIVADA GUADALUPE VICTORIA
757,1A PRIVADA LAS FLORES
758,1A RAMON CORONA
759,1A VENUSTIANO CARRANZA
760,1A ZIMAPAN
761,1A. CERRADA CAMINO REAL
762,1A. CERRADA DE LA HABANA
763,1A. CERRADA JAZMIN
764,1A. CERRADA TEHUTLI
765,1A. PRIVADA DE PIRUL
766,1A. PRIVADA PEDREGAL 4
767,1° DE ENERO
768,1° DE MAYO
769,1° DE JUNIO
771,1B
772,1-B
773,1-B (PASCUAL OROZCO)
774,1C
775,1-C
776,1-C (XOCHITEPETL)
777,1D
778,1-D
779,1DA. ADOLFO LOPEZ MATEOS
780,1E
781,1-E
782,1ER CAMINO DEL ROSAL
783,1ER. RETORNO DE MONTES
784,1F
785,1G
786,1H
787,1-LEONOR PINTADO
788,1M-16
789,1O DE MAYO
790,1RA DE LA SALITRERA
791,1RA NAZARET
792,1RO DE MAYO
793,1RO DE NOVIEMBRE
794,1RO. DE MAYO
795,2 (LOMA NATURAL)
796,2 (OCOTE)
797,2 (RAFAEL LOZADA)
798,2 13 DE JUNIO
799,2 A CUAUHTEMOC
800,2 ACOSTA
801,2 ADJUNTAS
802,2 AHUANTEPEC
803,2 ALBERTO HERNANDEZ
804,2 ALDAMA
805,2 ALEJO RICO
806,2 ALLENDE
807,2 AMIGOS
808,2 ANGEL MAZON
809,2 ANGEL PEREZ
810,2 AURELIO MENESES
811,2 B
812,2 BELLO HORIZONTE
813,2 BOSQUES OMBUES
814,2 C
815,2 CANAL NACIONAL
816,2 CARLOS M. RINCON
817,2 CARLOS MANCILLA
818,2 CASUARINAS
819,2 CEHUANTEPEC
820,2 CELESTINO GASCA
821,2 CEMPASUCHIL
822,2 CERRADA
823,2 CERRADA AZTECA
824,2 CERRADA CUAUTHEMOC
825,2 CERRADA CUAUTLAMILA
826,2 CERRADA DE MEYA
827,2 CERRADA MIXTECA
828,2 CERRADA OLMECA
829,2 CERRADA XOCOYOTZINT
830,2 CERRADA ZAPOTECA
831,2 CHAMICAL
832,2 CIPRES
833,2 CLAVEL
834,2 COLINAS
835,2 CRESENCIO MAGAÑA
836,2 CRESENCIO TORRES
837,2 CUBILETE
838,2 DALIA
839,2 DE 2 RETORNO
840,2 DE ABRIL
841,2 DE ABRIL PARTE ALTA
842,2 DE ACOXPA
843,2 DE AGOSTO
844,2 DE AGOSTO DE 1936 ORIENTE
845,2 DE AGOSTO DE 1936 PONIENTE
846,2 DE AZALEAS
847,2 DE CAMELINAS
848,2 DE CENTRAL
849,2 DE CERRO DE LA ESTRELLA
850,2 DE COACHILCO
851,2 DE COSTA VERDE
852,2 DE DICIEMBRE
853,2 DE ENERO
854,2 DE FEBRERO
855,2 DE FRAY SERVANDO
856,2 DE FRAY SERVANDO TERESA DE MIER
857,2 DE IGNACIO ALLENDE
858,2 DE JULIO
859,2 DE JUNIO
860,2 DE LA 18
861,2 DE LA CONCORDIA
862,2 DE MAESTRO DESIDERIO PEÑA
863,2 DE MARZO
864,2 DE MAYO
865,2 DE NOVIEMBRE
866,2 DE NUESTRA SEÑORA DE GUADALUPE
867,2 DE NUESTRA SEÑORA DEL ROCIO
868,2 DE OCTUBRE
869,2 DE PLAYA MANDINGA
870,2 DE REGIDORES
871,2 DE SAN JUAN DE DIOS
872,2 DE SEPTIEMBRE
873,2 DE SINDICOS
874,2 DE TORIBIO ALCARAZ
875,2 DE XAMILPTEPEC
876,2 DE ZARAGOZA
877,2 DEL PANTEON
878,2 DEL ROBLE
879,2 DEL TEMOLUCO
880,2 DIMAS ESTRADA
881,2 DOLORES GUERRERO
882,2 DOMINGO RIOS
883,2 EJIDO
884,2 EL ROSARIO
885,2 EMILIANO ZAPATA
886,2 EMILIO ROSAS
887,2 ENCINO
888,2 ENCINOS
889,2 ESTACIONAMIENTO MANUELA MEDINA
890,2 ESTACIONAMIENTO SANTA ANA
891,2 ESTEBAN MONROY
892,2 EUSEBIO GARCIA
893,2 FELIPE SANCHEZ
894,2 FRANCISCO I. MADERO
895,2 FRANCISCO MENA
896,2 FRANCISCO RIVERA
897,2 FUENTE PENELOPE
898,2 GRAN LAGO DE LOS OSOS
899,2 GUADALUPE I. RAMIREZ
900,2 GUADALUPE MAGAÑA
901,2 HACIENDA LA ESPERANZA
902,2 HERMANOS
903,2 HIDALGO NORTE
904,2 HORTENSIA
905,2 IGNACIO MANUEL ALTAMIRANO
906,2 ISIDRO FABELA
907,2 JACINTO HUITRON
908,2 JESUS RODRIGUEZ
909,2 JOSE BARRAGAN HERNANDEZ
910,2 JOSE M. FLORES
911,2 JOSE MARIA GUTIERREZ
912,2 JOSE PALACIOS
913,2 JOSE VICTORIA
914,2 JUSTINIANO GARCIA
915,2 LEONARDO CHAVEZ
916,2 LEONARDO HERNANDEZ
917,2 LOMA DEL CARPINTERO
918,2 LUIS ARAIZA
919,2 LUIS E. MENDIETA
920,2 LUIS MORONES
921,2 LUIS RODRIGUEZ
922,2 MANUEL CUEVAS
923,2 MANUELA SAENZ
924,2 MANZANA 18
925,2 MANZANA A
926,2 MANZANA B
927,2 MANZANA C
928,2 MANZANA D
929,2 MANZANA E
930,2 MANZANA F
931,2 MANZANA G
932,2 MANZANA H
933,2 MANZANA I
934,2 MANZANA J
935,2 MANZANA K
